year,model,variant,n,rps,log_loss,brier,ece,accuracy,auc_ovr
2018_2022,elo_logistic,selected,128.0,0.2108166459246878,1.0140522191174937,0.5926332799374989,0.06857863495579644,0.5703125,0.655903468241106
2018_2022,full_logistic,selected,128.0,0.2102569295533106,1.0270991919947934,0.5907827628562978,0.05366705832879988,0.5546875,0.659902797631733
2018_2022,poisson,selected,128.0,0.2098874326031302,1.0085909097479466,0.5903428444224406,0.08869842288627316,0.5546875,0.6571546939942051
2018_2022,dixon_coles,selected,128.0,0.2099353071297312,1.0091528376717267,0.5904566120434085,0.08910811189215091,0.5546875,0.6574840478043119
2018_2022,hist_gradient,selected,128.0,0.2086903802754706,1.0172072462139936,0.5869828799384444,0.053860734128409866,0.5625,0.6646762943893726
2018_2022,hist_gradient_raw,selected,128.0,0.2063044111651712,0.986912791623668,0.5786999352120845,0.11063828683379863,0.5625,0.6856409729936649
2018_2022,hist_gradient_tuned_prior,selected,128.0,0.20514249410614813,0.981916431250508,0.5759856333510225,0.08128496733894204,0.5625,0.6914874388480482
2018_2022,squad_hist_gradient_dc_prior,selected,128.0,0.20508517099672002,0.9835797005302716,0.5767478100028315,0.04768613504008633,0.5625,0.6817493311016661
2018_2022,market_squad_hist_gradient_dc_prior,selected,128.0,0.19989263015190048,0.9664916521243827,0.5661099679678118,0.04076775442292925,0.5703125,0.6921773776542053
2018_2022,market_consensus_hybrid,selected,128.0,0.19967938568552562,0.9651421933631934,0.5655654692426764,0.045338609731744216,0.5703125,0.6928699502807403
2018_2022,match_stats_hist_gradient,selected,128.0,0.20846932202691845,1.00087421913435,0.5856881260645977,0.0626174005791772,0.546875,0.6704023544135725
2018_2022,hist_gb_classifier,selected,128.0,0.21101393750732111,1.0303638662078753,0.5933870297360095,0.0608613903927752,0.5625,0.648487325683454
2018_2022,xgboost,selected,128.0,0.20799427137525742,1.0048412105278006,0.5864628251536076,0.03517231043613086,0.5703125,0.6580899834347803
2018_2022,lightgbm,selected,128.0,0.20870373808721032,1.0144129734838043,0.5874474135556208,0.06690488728413056,0.5625,0.6609462914227845
2018_2022,catboost,selected,128.0,0.20828132011468187,1.0090821868040716,0.5861935408371843,0.055454918242984846,0.5625,0.6645513696455979
2018_2022,team_effect_poisson,selected,128.0,0.2079439712823444,1.0010360961153135,0.5862814147892954,0.04694697954958734,0.5703125,0.6604471919014271
2018_2022,sdr_sir_poisson,selected,128.0,0.21258356978616455,1.026491396564535,0.597840998390305,0.07101118520676068,0.5546875,0.6377413945937297
2018_2022,sdr_save_poisson,selected,128.0,0.21195225485190805,1.0247564103532714,0.5965166715326542,0.09988811559514556,0.5625,0.640916789566484
2018_2022,paper_sdr_sir_poisson,selected,128.0,0.2096866737146761,1.0129090825402955,0.5902796518377789,0.043142881972441635,0.5390625,0.6519001267585057
2018_2022,paper_sdr_save_poisson,selected,128.0,0.20933798750695887,1.0129115618308768,0.589626319602,0.04101692026463011,0.5390625,0.6526529586464239
2018_2022,optimized_ensemble,selected,128.0,0.2097706952145628,1.012752039751184,0.59028994769029,0.06862328467859515,0.5703125,0.6548584339247393
2018_2022,top1_accuracy_blend,selected,128.0,0.20429769090846722,0.9869246295988017,0.5773888265637056,0.10055829390516854,0.578125,0.6724504311936848
2006,market_consensus_hybrid,walk_forward_diagnostic,64.0,0.17181155615929364,0.8918979642172765,0.5218019101394097,0.09494945488544096,0.609375,0.7154792919733876
2006,poisson,walk_forward_diagnostic,64.0,0.19482805228905,0.9612397562512722,0.56725355029014,0.16528456753991583,0.546875,0.6800789640147359
2006,top1_accuracy_blend,walk_forward_diagnostic,64.0,0.18441936926220281,0.9314891804638621,0.5462421534844663,0.1578580307093717,0.59375,0.7083022248488838
2010,market_consensus_hybrid,walk_forward_diagnostic,64.0,0.20150287763225622,0.998470541425027,0.5912602372251502,0.11308060188297696,0.515625,0.6678819444444445
2010,poisson,walk_forward_diagnostic,64.0,0.19638151384883998,0.9869291534306392,0.5806121136067323,0.15889237663297348,0.5625,0.7104166666666667
2010,top1_accuracy_blend,walk_forward_diagnostic,64.0,0.19581837905331412,0.9832214322881565,0.5793220573000865,0.2145148400621904,0.546875,0.6986979166666667
2014,market_consensus_hybrid,walk_forward_diagnostic,64.0,0.1972596506985581,0.9435345884999049,0.5604011256873307,0.029765687988104902,0.5625,0.6539636946330659
2014,poisson,walk_forward_diagnostic,64.0,0.19312136888999082,0.9328907146803207,0.5512615280074125,0.18662505187478073,0.65625,0.6735608317758418
2014,top1_accuracy_blend,walk_forward_diagnostic,64.0,0.19226772075052098,0.9304442620275486,0.5495037596000416,0.13038119234960643,0.65625,0.6642199697980632
2018,market_consensus_hybrid,walk_forward_diagnostic,64.0,0.19271643756381962,0.9270747196934315,0.5482742879958267,0.044459625503622265,0.578125,0.6807467386414755
2018,poisson,walk_forward_diagnostic,64.0,0.2086227926544239,0.9837376705149268,0.5815659150881056,0.08527073699681915,0.546875,0.6529774284882645
2018,top1_accuracy_blend,walk_forward_diagnostic,64.0,0.20078760828633951,0.955802755843232,0.5649701273146424,0.053000663012704494,0.578125,0.6593384668307268
2022,market_consensus_hybrid,walk_forward_diagnostic,64.0,0.2066423338072316,1.0032096670329556,0.582856650489526,0.1161108638416182,0.5625,0.719250645994832
2022,poisson,walk_forward_diagnostic,64.0,0.2111520725518365,1.0334441489809667,0.5991197737567754,0.10032212563622646,0.5625,0.6760111796656648
2022,top1_accuracy_blend,walk_forward_diagnostic,64.0,0.20780777353059504,1.0180465033543715,0.5898075258127689,0.15486921934151338,0.578125,0.7059372198491799
walk_forward_2006_2022,market_consensus_hybrid,diagnostic,320.0,0.19398657117223186,0.9528374961737189,0.5609188423074487,0.03548572456426775,0.565625,0.6847117011345912
walk_forward_2006_2022,poisson,diagnostic,320.0,0.20082116004682823,0.979648288771625,0.5759625761498333,0.07412230621053258,0.575,0.6738409768968155
walk_forward_2006_2022,top1_accuracy_blend,diagnostic,320.0,0.1962201701765945,0.9638008267954341,0.565969124702401,0.07166176494148992,0.590625,0.6791022720951775
